Name                 Stars     Classes      LOC     URL
---------------------------------------------------------------------------------------------
Tomcat Jasper        8000       109       24612     https://github.com/apache/tomcat
thymeleaf            2921      1408      100055     https://github.com/thymeleaf/thymeleaf
mustache.java        1934       134        9436     https://github.com/spullara/mustache.java
handlebars.java      1519       394       23162     https://github.com/jknack/handlebars.java
pebble               1157       358       23880     https://github.com/PebbleTemplates/pebble
freemarker           1062       912       96000     https://github.com/apache/freemarker
jte                  1015       240       19952     https://github.com/casid/jte
rocker                776       150        9876     https://github.com/fizzed/rocker

jmustache             867        16        3246     https://github.com/samskivert/jmustache
StringTemplate4      1010       109       15537     https://github.com/antlr/stringtemplate4
jinjava               753       635       55382     https://github.com/HubSpot/jinjava
jade4j                706       153        8054     https://github.com/neuland/jade4j
velocity              398       401       34148     https://github.com/apache/velocity-engine
httl                  344       289       29743     https://github.com/httl/httl
jstachio              304       577       24073     https://github.com/jstachio/jstachio
